,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
216,Agent State Farm,Arnold Schwarzenegger, Kevin Miles,unknown,unknown,Action, Thriller,unknown,2024.0,2.0,Jim Jenkins,1.0
217,Female Agents,Sophie Marceau, Julie Depardieu, Marie Gillain, Déborah François,War, History, Drama,2008.0,6.8,Serge Onteniente,117.0
221,Brochevarevaru Ra,Sree Vishnu, Rahul Ramakrishna, Priyadarshi Pullikonda, Satyadev Kancharana,Thriller, Crime,unknown,2019.0,6.9,Shravan,122.0
223,Velle,Abhay Deol, Karan Deol, Anya Singh, Vishesh Tiwari,Comedy, Crime,unknown,2021.0,9.0,Deven Munjal,125.0
224,Mental Madhilo,Sree Vishnu, Nivetha Pethuraj, Amrutha Srinivasan, Shivaji Raja,Romance, Comedy, Drama,2017.0,6.4,Vivek Athreya,132.0
225,Mental: A History of the Madhouse,Tamsin Greig, Peter Barham, Maggi Chapman,unknown,Documentary, History,unknown,2010.0,4.5,Chris Boulding,59.0
227,Metal Man,Samuel Nathan Hoffmire, Reggie Bannister, Anthony Antonucci, P. David Miller,Action, Sci-Fi, Adventure,2008.0,2.0,Ron Karkoska,87.0
230,Ala Vaikunthapurramuloo,Allu Arjun, Pooja Hegde, Murli Sharma, Jayaram,Action, Drama,unknown,2020.0,6.3,Trivikram Srinivas,165.0
231,Shehzada,Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala,Action, Comedy, Drama,2023.0,1.0,Rohit Dhawan,90.0
233,Galavant,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
235,Sarileru Neekevvaru,Mahesh Babu, Vijayashanti, Rashmika Mandanna, Prakash Raj,Action, Comedy, Drama,2020.0,5.4,Anil Ravipudi,169.0
236,I am Ichihashi: Journal of a Murderer,Dean Fujioka, Takashi Nishina, Shin'ichi Tsuha, Ryuma Matsuzaka,Drama,unknown,unknown,2013.0,5.6,Dean Fujioka,83.0
238,Total Eclipse,Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc,Drama, Romance, Biography,1995.0,6.4,Agnieszka Holland,111.0
239,Pushpa: The Rise - Part 1,Allu Arjun, Jagadeesh Prathap Bandari, Rashmika Mandanna, Sunil Varma,Action, Drama, Thriller,2021.0,7.267,Sukumar,179.0
240,Pushpa: The Rule - Part 2,Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Sunil Varma,Action, Drama, Crime,0.0,7.0,Sukumar,90.0
244,The Family Man,Nicolas Cage, Téa Leoni, Don Cheadle, Saul Rubinek,Comedy, Drama, Romance,2000.0,6.7,Brett Ratner,125.0
245,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
